mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.3417227268218994,0.40251557139666955,1.0632503032684326,0.21211505897757885,12,log2,5,420,"{'model__max_depth': 12, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__n_estimators': 420}",0.7379320987654321,0.7736967190345382,0.7683736809435133,0.7600008329144945,0.015755537731987474,13
1.9788744449615479,0.3597883286386793,1.3908371130625408,0.2521678830355095,16,log2,5,170,"{'model__max_depth': 16, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__n_estimators': 170}",0.7377160493827161,0.7818759838266613,0.7706393544382371,0.7634104625492047,0.018738865333505356,10
3.126589377721151,0.32836454180272634,1.3302106062571208,0.1062579700036434,12,log2,3,364,"{'model__max_depth': 12, 'model__max_features': 'log2', 'model__min_samples_leaf': 3, 'model__n_estimators': 364}",0.7415123456790123,0.7777400537053613,0.778584729981378,0.7659457097885838,0.01728043847410498,9
2.9002229372660318,0.19878888629290756,1.3276526927947998,0.2997854183777271,16,sqrt,5,249,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 249}",0.7533024691358026,0.7756720886447113,0.7946617008069522,0.7745454195291553,0.016903619899869916,5
3.432994842529297,0.18356661546431258,1.209303855895996,0.1610014503613069,13,log2,3,299,"{'model__max_depth': 13, 'model__max_features': 'log2', 'model__min_samples_leaf': 3, 'model__n_estimators': 299}",0.7534259259259258,0.7779869749066329,0.766542520173805,0.7659851403354546,0.010034749157181192,8
3.720048427581787,0.4923345316093434,0.9862136046091715,0.32668539881718184,26,log2,4,443,"{'model__max_depth': 26, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__n_estimators': 443}",0.7504012345679013,0.7921232136794345,0.7711669770328988,0.7712304750934115,0.01703298582649892,6
3.3145525455474854,0.3720749360936929,0.7406315008799235,0.03831005929738853,7,log2,4,426,"{'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__n_estimators': 426}",0.7192283950617284,0.7644063088366924,0.765673494723774,0.7497693995407316,0.021601946763474406,15
2.5688613255818686,0.21216298102003717,1.0697017510732014,0.45606771774847676,6,log2,2,171,"{'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 171}",0.7185185185185184,0.7700854964659404,0.7628491620111733,0.7504843923318774,0.022795525154058947,14
2.4959903558095298,0.15622290915824288,1.3221176465352376,0.26297737486419864,17,sqrt,1,208,"{'model__max_depth': 17, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 208}",0.7686728395061728,0.7870304639032069,0.7879888268156425,0.7812307100750074,0.0088883706713017,3
3.694448153177897,0.23443129180523237,1.3640197118123372,0.2198534249032761,15,log2,4,337,"{'model__max_depth': 15, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__n_estimators': 337}",0.7391666666666666,0.77925244606315,0.7702048417132216,0.7628746514810127,0.017166172046327244,11
3.1480394204457602,0.16322283954539907,1.2315338452657063,0.13042418226875394,21,sqrt,3,204,"{'model__max_depth': 21, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 204}",0.7658333333333334,0.7851785548936696,0.7932960893854749,0.7814359925374926,0.011519717075150298,2
3.640585740407308,0.10730832786799158,1.8149162133534749,0.12175306985021765,25,log2,1,280,"{'model__max_depth': 25, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 280}",0.7592592592592592,0.8046544646439705,0.7847920546244567,0.7829019261758955,0.018580645972697433,1
5.280634880065918,0.4194420649296448,1.9573644002278645,0.4329267803584945,10,sqrt,5,478,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 478}",0.750432098765432,0.7723077872773851,0.7898510242085661,0.7708636367504611,0.01612507568625446,7
4.343554576237996,0.03838065848403045,1.281618356704712,0.2079025456843422,12,log2,4,238,"{'model__max_depth': 12, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__n_estimators': 238}",0.7335802469135803,0.7728324948300873,0.7798882681564245,0.7621003366333641,0.020371428071796212,12
4.875104745229085,0.1481707692151403,1.0389143625895183,0.0754551077486186,19,log2,2,414,"{'model__max_depth': 19, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 414}",0.7589814814814815,0.7833883761844501,0.7819366852886407,0.774768847651524,0.011179074188098003,4
