feature,importance
review_text_length,0.005272110579700496
rating,0.004590006718668905
review_sentiment_vader,0.003944509547755936
discount_percentage,0.0038469210298464895
budget,0.003566573754769977
and,0.003349535441517641
good,0.003206341882214782
discount_amount_log,0.003198740545555172
product_name_length,0.00318623905695027
very,0.003186122570952595
for,0.003069072172429949
can,0.003064061908600672
discounted_price_log,0.003051597176345473
remote,0.003027278119391985
product,0.003025691441951166
in,0.0030101662054570124
but,0.0029714719406360307
if,0.0029633865271265327
on,0.002961311439710643
to,0.002949286996681256
use,0.0029298413583620747
that,0.002895281754509175
category_main_Home&Kitchen,0.002881203644208151
is,0.002877607981726622
it,0.002856833893558637
about_product_length,0.0027261901154528277
the,0.002648575007209715
nice,0.002648350948685514
one,0.002593940475196873
actual_price_log,0.0025675940109270434
not,0.0025269424443573416
buy,0.0024455179241401103
you,0.0023948117599369456
tv,0.002376195135138139
have,0.0023296132353941446
from,0.0023139358260897322
more,0.0023026965962256152
quality,0.0022600560555104494
this,0.0022513536936731543
of,0.0022395902019657493
with,0.0022144493189700074
all,0.0021675293408444816
be,0.0021453466602224525
will,0.0021238757351769747
sound,0.002095701304731806
its,0.0020896545173424395
up,0.002038300195377797
easy,0.0020369774264973267
or,0.0020359279533470665
best,0.0020217747318954722
about,0.0020125472105427585
working,0.0019889314161451537
around,0.0019441188881694719
phone,0.0019349600165174167
perfect,0.0018966067540973476
warranty,0.0018573266021268936
at,0.0018237625424091825
time,0.0018014241051364538
so,0.0018007410075273488
using,0.0017906578832995723
by,0.0017808035960215109
your,0.0017685685136674162
almost,0.001749192345721999
than,0.0017418425508529973
made,0.0017263071715494162
year,0.0017128352802326127
life,0.0017079861296655167
my,0.0017047814181843134
compared,0.0016968926033486284
card,0.001677000359099631
design,0.0016718865005597209
amazon,0.0016358678137710087
no,0.0016352071602890464
also,0.0016299310554325106
core,0.0016267679638218339
devices,0.0016264430661092056
wireless,0.0016225265028556835
money,0.0016211964484132322
must,0.001617245925231801
some,0.0016082412657202807
camera,0.0016071544695785052
value,0.0016049515221580842
was,0.0016037547777475701
as,0.0015951472614207747
while,0.0015897234506368119
an,0.0015876127645331817
cable,0.0015866556037584648
